Member1,Material1,Section1,Area1,Orientation1,Member2,Material2,Section2,Area2,Orientation2,Angle,Fx1,Fy1,Fz1,Mx1,My1,Mz1,Fx2,Fy2,Fz2,Mx2,My2,Mz2,Output
195.0,355.0,I,131.0,Z,207.0,235.0,S,15.0,XZ,55.007979801441344,-8.15,0.0,0.19,0.0,-0.54,0.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
195.0,355.0,I,131.0,Z,208.0,235.0,S,15.0,XZ,55.007979801441344,-8.15,0.0,0.19,0.0,-0.54,0.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
195.0,355.0,I,131.0,Z,209.0,235.0,S,15.0,XZ,55.007979801441344,-4.62,0.0,0.19,0.0,0.0,-0.01,2.34,0.0,0.0,0.0,0.0,0.0,7.0
195.0,355.0,I,131.0,Z,494.0,235.0,S,27.0,YZ,50.30732684933118,-4.62,0.0,0.19,0.0,0.0,-0.01,1.0,1.0,1.0,1.0,1.0,1.0,7.0
196.0,355.0,I,131.0,Z,202.0,235.0,S,15.0,XZ,55.007979801441344,-3.9,-0.02,0.09,0.0,0.0,0.04,1.12,0.0,0.0,0.0,0.0,0.0,7.0
196.0,355.0,I,131.0,Z,203.0,235.0,S,15.0,XZ,55.007979801441344,-7.43,-0.02,0.09,0.0,-0.25,-0.02,1.0,1.0,1.0,1.0,1.0,1.0,7.0
196.0,355.0,I,131.0,Z,204.0,235.0,S,15.0,XZ,55.007979801441344,-7.43,-0.02,0.09,0.0,-0.25,-0.02,1.0,1.0,1.0,1.0,1.0,1.0,7.0
196.0,355.0,I,131.0,Z,205.0,235.0,S,15.0,XZ,55.007979801441344,-3.9,-0.02,0.09,0.0,0.0,0.04,1.91,0.0,0.0,0.0,0.0,0.0,7.0
197.0,355.0,I,112.0,Z,198.0,235.0,S,27.0,XZ,55.007979801441344,-46.73,0.08,0.26,0.0,0.09,-0.15,1.0,1.0,1.0,1.0,1.0,1.0,9.0
197.0,355.0,I,112.0,Z,199.0,235.0,S,27.0,XZ,55.007979801441344,-51.28,0.08,0.26,0.0,-0.65,0.06,1.3,0.0,0.0,0.0,0.0,0.0,9.0
197.0,355.0,I,112.0,Z,200.0,235.0,S,27.0,XZ,55.007979801441344,-51.28,0.08,0.26,0.0,-0.65,0.06,1.0,1.0,1.0,1.0,1.0,1.0,9.0
197.0,355.0,I,112.0,Z,201.0,235.0,S,27.0,XZ,55.007979801441344,-46.73,0.08,0.26,0.0,0.09,-0.15,1.0,1.0,1.0,1.0,1.0,1.0,9.0
237.0,235.0,I,46.0,Y,222.0,275.0,H,11.0,Z,90.0,-18.3,0.0,0.03,0.0,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
238.0,235.0,I,76.0,Y,222.0,275.0,H,11.0,Z,90.0,-32.67,0.0,-0.08,0.0,-0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.01,2.0
264.0,235.0,I,46.0,Y,222.0,275.0,H,11.0,Z,90.0,-18.73,0.0,-0.07,0.0,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
265.0,235.0,I,76.0,Y,222.0,275.0,H,11.0,Z,90.0,-33.1,0.0,-0.25,0.0,-0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.01,2.0
238.0,235.0,I,76.0,Y,223.0,275.0,H,11.0,Z,90.0,-32.67,0.0,-0.08,0.0,-0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.01,2.0
239.0,235.0,I,76.0,Y,223.0,275.0,H,11.0,Z,90.0,-29.48,0.01,-0.03,0.0,-0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.01,2.0
265.0,235.0,I,76.0,Y,223.0,275.0,H,11.0,Z,90.0,-33.1,0.0,-0.25,0.0,-0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.01,2.0
266.0,235.0,I,76.0,Y,223.0,275.0,H,11.0,Z,90.0,-31.27,0.0,-0.2,0.0,-0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.01,2.0
239.0,235.0,I,76.0,Y,224.0,275.0,H,11.0,Z,90.0,-29.48,0.01,-0.03,0.0,-0.25,0.0,-0.02,0.0,0.0,0.0,0.0,0.01,2.0
240.0,235.0,I,76.0,Y,224.0,275.0,H,11.0,Z,90.0,-34.57,-0.01,-0.18,0.0,-0.54,0.0,-0.02,0.0,0.0,0.0,0.0,0.0,2.0
266.0,235.0,I,76.0,Y,224.0,275.0,H,11.0,Z,90.0,-31.27,0.0,-0.2,0.0,-0.25,0.0,-0.02,0.0,0.0,0.0,0.0,0.01,2.0
267.0,235.0,I,76.0,Y,224.0,275.0,H,11.0,Z,90.0,-35.01,0.0,-0.35,0.0,-0.54,0.0,-0.02,0.0,0.0,0.0,0.0,0.0,2.0
240.0,235.0,I,76.0,Y,225.0,275.0,H,11.0,Z,90.0,-34.57,-0.01,-0.18,0.0,-0.54,0.0,-0.01,0.0,0.0,0.0,0.0,0.0,2.0
241.0,235.0,I,76.0,Y,225.0,275.0,H,11.0,Z,90.0,-28.03,0.0,0.02,0.0,-0.17,0.0,-0.01,0.0,0.0,0.0,0.0,0.0,2.0
267.0,235.0,I,76.0,Y,225.0,275.0,H,11.0,Z,90.0,-35.01,0.0,-0.35,0.0,-0.54,0.0,-0.01,0.0,0.0,0.0,0.0,0.0,2.0
268.0,235.0,I,76.0,Y,225.0,275.0,H,11.0,Z,90.0,-28.46,0.0,-0.15,0.0,-0.17,0.0,-0.01,0.0,0.0,0.0,0.0,0.0,2.0
241.0,235.0,I,76.0,Y,226.0,275.0,H,11.0,Z,90.0,-28.03,0.0,0.02,0.0,-0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
242.0,235.0,I,46.0,Y,226.0,275.0,H,11.0,Z,90.0,-15.23,0.0,-0.17,0.0,-0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
268.0,235.0,I,76.0,Y,226.0,275.0,H,11.0,Z,90.0,-28.46,0.0,-0.15,0.0,-0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
269.0,235.0,I,46.0,Y,226.0,275.0,H,11.0,Z,90.0,-15.67,0.0,-0.03,0.0,-0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
243.0,235.0,I,46.0,Y,227.0,275.0,H,11.0,Z,90.0,-17.85,0.0,0.03,0.0,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
244.0,235.0,I,76.0,Y,227.0,275.0,H,11.0,Z,90.0,-32.59,0.01,0.16,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
270.0,235.0,I,46.0,Y,227.0,275.0,H,11.0,Z,90.0,-18.28,0.0,-0.08,0.0,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
